294,0
157,2
282,0
37,1
167,4
143,2
208,5
268,3
91,1
42,2
27,1
269,3
265,3
285,0
300,0
151,2
290,0
226,5
31,1
146,2
99,1
274,3
156,2
206,5
255,3
233,5
72,2
153,2
175,4
125,2
53,2
40,1
224,5
181,4
84,1
112,1
273,3
207,5
173,4
130,2
238,5
139,2
221,5
67,2
89,1
80,2
222,5
239,5
276,3
74,2
132,2
115,1
93,1
228,5
102,1
310,0
92,1
260,3
308,0
259,3
293,0
96,1
179,4
148,2
9,1
251,3
150,2
203,5
21,1
299,0
101,1
286,0
183,4
109,1
266,3
304,0
162,4
223,5
22,1
77,2
104,1
127,2
126,2
214,5
205,5
57,2
38,1
20,1
124,2
62,2
165,4
202,5
177,4
90,1
135,2
35,1
114,1
140,2
46,2
68,2
219,5
204,5
297,0
187,4
278,3
87,1
